"id","ip_usuario","tipo_movimiento","origen","elementos_involucrados","fecha_hora","comenario"
"1","127.0.0.1","2","https://facebook.com","Boton","2025-11-10 15:08:00","comentarios"
"2","unknown","3","http://127.0.0.1:8000/pagina#contact","{""posicion"":""296,254"",""elemento"":""div: card-body d-flex flex-column""}","2025-11-13 00:46:50",NULL
"3","unknown","3","http://127.0.0.1:8000/pagina#contact","{""posicion"":""451,420"",""elemento"":""html: app-root""}","2025-11-13 00:46:51",NULL
"4","unknown","3","http://127.0.0.1:8000/pagina#contact","{""posicion"":""296,509"",""elemento"":""div: card-body d-flex flex-column""}","2025-11-13 00:46:57",NULL
"5","unknown","3","http://127.0.0.1:8000/pagina#contact","{""posicion"":""162,174"",""elemento"":""div: d-flex justify-content-between align-items-center mb-2""}","2025-11-13 00:46:58",NULL
"6","unknown","3","http://127.0.0.1:8000/pagina#contact","{""posicion"":""193,250"",""elemento"":""a: btn btn-outline-secondary btn-sm""}","2025-11-13 00:46:59",NULL
"7","unknown","3","http://127.0.0.1:8000/pagina#contact","{""posicion"":""126,611"",""elemento"":""h3: fw-bold""}","2025-11-13 00:47:00",NULL
"8","unknown","3","http://127.0.0.1:8000/pagina#contact","{""posicion"":""439,181"",""elemento"":""div: col-sm-6 col-md-4 col-lg-3""}","2025-11-13 00:47:02",NULL
"9","192.168.1.9","1","Google Ads","Home_Page","2025-11-01 11:21:00","Inicio de sesion"
"10","192.168.1.9","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-01 11:21:34","Navegando catalogo"
"11","192.168.1.9","2","Google Ads","link_menu_hombres","2025-11-01 11:21:36","Interaccion interfaz"
"12","192.168.1.19","1","Newsletter","Home_Page","2025-11-01 14:20:00","Inicio de sesion"
"13","192.168.1.19","3","Newsletter","vista_Jean_Slim_Negro","2025-11-01 14:20:16","Navegando catalogo"
"14","192.168.1.19","2","Newsletter","btn_agregar_carrito","2025-11-01 14:20:18","Interaccion interfaz"
"15","192.168.1.19","3","Newsletter","vista_Jean_Slim_Negro","2025-11-01 14:20:33","Navegando catalogo"
"16","192.168.1.4","1","Directo","Home_Page","2025-11-01 14:51:00","Inicio de sesion"
"17","192.168.1.4","3","Directo","vista_Jean_Slim_Negro","2025-11-01 14:51:44","Navegando catalogo"
"18","192.168.1.4","2","Directo","btn_agregar_carrito","2025-11-01 14:51:46","Interaccion interfaz"
"19","192.168.1.4","3","Directo","vista_Zapatillas_Urban","2025-11-01 14:51:54","Navegando catalogo"
"20","192.168.1.46","1","Instagram Bio","Home_Page","2025-11-01 17:39:00","Inicio de sesion"
"21","192.168.1.46","3","Instagram Bio","vista_Zapatillas_Urban","2025-11-01 17:39:28","Navegando catalogo"
"22","192.168.1.46","3","Instagram Bio","vista_Zapatillas_Urban","2025-11-01 17:39:57","Navegando catalogo"
"23","192.168.1.46","2","Instagram Bio","btn_ver_tallas","2025-11-01 17:39:59","Interaccion interfaz"
"24","192.168.1.46","3","Instagram Bio","vista_Camisa_Lino_Blanca","2025-11-01 17:40:40","Navegando catalogo"
"25","192.168.1.46","3","Instagram Bio","vista_Zapatillas_Urban","2025-11-01 17:41:19","Navegando catalogo"
"26","192.168.1.46","5","Instagram Bio","btn_cancelar_checkout","2025-11-01 17:41:54","Abandono en pago"
"27","192.168.1.7","1","Google Ads","Home_Page","2025-11-01 19:18:00","Inicio de sesion"
"28","192.168.1.7","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-01 19:18:15","Navegando catalogo"
"29","192.168.1.7","2","Google Ads","link_menu_hombres","2025-11-01 19:18:17","Interaccion interfaz"
"30","192.168.1.7","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-01 19:18:34","Navegando catalogo"
"31","192.168.1.7","3","Google Ads","vista_Chaqueta_Cuero","2025-11-01 19:18:45","Navegando catalogo"
"32","192.168.1.7","3","Google Ads","vista_Jean_Slim_Negro","2025-11-01 19:19:19","Navegando catalogo"
"33","192.168.1.7","2","Google Ads","link_menu_hombres","2025-11-01 19:19:21","Interaccion interfaz"
"34","192.168.1.7","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-01 19:19:28","Navegando catalogo"
"35","192.168.1.7","4","Google Ads","btn_finalizar_pago_exitoso","2025-11-01 19:20:15","Venta Exitosa"
"36","192.168.1.5","1","Directo","Home_Page","2025-11-01 19:37:00","Inicio de sesion"
"37","192.168.1.5","3","Directo","vista_Zapatillas_Urban","2025-11-01 19:37:16","Navegando catalogo"
"38","192.168.1.5","2","Directo","img_zoom","2025-11-01 19:37:18","Interaccion interfaz"
"39","192.168.1.37","1","Newsletter","Home_Page","2025-11-01 22:19:00","Inicio de sesion"
"40","192.168.1.37","3","Newsletter","vista_Zapatillas_Urban","2025-11-01 22:19:30","Navegando catalogo"
"41","192.168.1.37","3","Newsletter","vista_Chaqueta_Cuero","2025-11-01 22:20:10","Navegando catalogo"
"42","192.168.1.37","2","Newsletter","img_zoom","2025-11-01 22:20:12","Interaccion interfaz"
"43","192.168.1.37","3","Newsletter","vista_Jean_Slim_Negro","2025-11-01 22:20:56","Navegando catalogo"
"44","192.168.1.37","2","Newsletter","btn_agregar_carrito","2025-11-01 22:20:58","Interaccion interfaz"
"45","192.168.1.37","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-01 22:21:43","Navegando catalogo"
"46","192.168.1.37","5","Newsletter","btn_cancelar_checkout","2025-11-01 22:22:39","Abandono en pago"
"47","192.168.1.10","1","Google Ads","Home_Page","2025-11-01 22:45:00","Inicio de sesion"
"48","192.168.1.10","3","Google Ads","vista_Chaqueta_Cuero","2025-11-01 22:45:26","Navegando catalogo"
"49","192.168.1.10","2","Google Ads","link_menu_hombres","2025-11-01 22:45:28","Interaccion interfaz"
"50","192.168.1.10","3","Google Ads","vista_Zapatillas_Urban","2025-11-01 22:45:40","Navegando catalogo"
"51","192.168.1.10","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-01 22:46:25","Navegando catalogo"
"52","192.168.1.10","2","Google Ads","btn_ver_tallas","2025-11-01 22:46:27","Interaccion interfaz"
"53","192.168.1.49","1","Newsletter","Home_Page","2025-11-02 00:55:00","Inicio de sesion"
"54","192.168.1.49","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-02 00:55:31","Navegando catalogo"
"55","192.168.1.49","2","Newsletter","img_zoom","2025-11-02 00:55:33","Interaccion interfaz"
"56","192.168.1.49","3","Newsletter","vista_Chaqueta_Cuero","2025-11-02 00:55:44","Navegando catalogo"
"57","192.168.1.49","2","Newsletter","link_menu_hombres","2025-11-02 00:55:46","Interaccion interfaz"
"58","192.168.1.49","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-02 00:56:15","Navegando catalogo"
"59","192.168.1.49","2","Newsletter","btn_ver_tallas","2025-11-02 00:56:17","Interaccion interfaz"
"60","192.168.1.49","3","Newsletter","vista_Zapatillas_Urban","2025-11-02 00:56:42","Navegando catalogo"
"61","192.168.1.49","5","Newsletter","btn_cancelar_checkout","2025-11-02 00:57:41","Abandono en pago"
"62","192.168.1.3","1","Directo","Home_Page","2025-11-02 01:06:00","Inicio de sesion"
"63","192.168.1.3","3","Directo","vista_Zapatillas_Urban","2025-11-02 01:06:39","Navegando catalogo"
"64","192.168.1.3","2","Directo","btn_agregar_carrito","2025-11-02 01:06:41","Interaccion interfaz"
"65","192.168.1.3","3","Directo","vista_Camisa_Lino_Blanca","2025-11-02 01:07:03","Navegando catalogo"
"66","192.168.1.3","3","Directo","vista_Chaqueta_Cuero","2025-11-02 01:07:45","Navegando catalogo"
"67","192.168.1.30","1","Newsletter","Home_Page","2025-11-02 03:23:00","Inicio de sesion"
"68","192.168.1.30","3","Newsletter","vista_Jean_Slim_Negro","2025-11-02 03:23:43","Navegando catalogo"
"69","192.168.1.30","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-02 03:23:58","Navegando catalogo"
"70","192.168.1.30","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-02 03:24:16","Navegando catalogo"
"71","192.168.1.30","3","Newsletter","vista_Camisa_Lino_Blanca","2025-11-02 03:24:33","Navegando catalogo"
"72","192.168.1.30","5","Newsletter","btn_cancelar_checkout","2025-11-02 03:24:50","Abandono en pago"
"73","192.168.1.30","1","Google Ads","Home_Page","2025-11-02 04:16:00","Inicio de sesion"
